sku_id,sku_name,before_discount,after_discount,category
P113726,USwinter_US-WGO-5-5-6Y,162400.00,131544.00,"Kids & Baby"
P113788,redspot_9789696230243,26100.00,22156.00,"School & Education"
P113963,"BB_Black Artificial Leather Lounger",243600.00,182700.00,"Home & Living"
P114044,BP_PS17548,17342.00,11078.00,"School & Education"
P114375,AKL_A01136177-AW-18-Purple,232000.00,153120.00,"Women Fashion"
P114419,"cr_MUZAFTI IRANI (500GM)",10730.00,9396.00,Soghaat
P114549,how_Zeppelin-41,284200.00,198940.00,"Men Fashion"
P114901,"SCIFI_Spider Man_SC4540SPD",230260.00,158862.00,"School & Education"
P115324,"cr_PISTA PLAIN-500 GM",84100.00,59682.00,Soghaat
P115658,Timex_TW000Q808,347942.00,278342.00,"Women Fashion"
P115727,sinbo_3467,497640.00,393124.00,Appliances
P115955,timex_T2N700,976720.00,771574.00,"Men Fashion"
P117410,PlanetX_PX-9280,127542.00,89262.00,"Kids & Baby"
P117695,Charizma_CV-17,241280.00,214716.00,"Women Fashion"
P118269,Edukaan_201560,88102.00,63394.00,"Kids & Baby"
P118382,"Edenrobe_EGTFS17-0687-9-10 Years",69600.00,45936.00,"Kids & Baby"
P118617,"Tmall_BFCombo 2_Yoya Mat & Skipping rope-Green",75342.00,63278.00,"Health & Sports"
P118859,"centrix_Scootify - Red Self Balancing Scooter",985942.00,640842.00,"Kids & Baby"
P118952,BP_TO21406,36250.00,21750.00,"Kids & Baby"
P118967,"Infinix Hot Note X551-1GB-Gold-Nationwide Delivery",730800.00,657720.00,Appliances
P118969,cc_Huawei-Mate-9-Brown,3624942.00,2682442.00,"Mobiles & Tablets"
P119010,naushemian_0010-M,243600.00,202188.00,"Men Fashion"
P119011,"Ref_James-B 1146-Black -40",214310.00,145696.00,"Men Fashion"
P119057,"WD_WD - MP - 1TB",383670.00,249342.00,Computing
P119266,"iPhone7Plus-Matte Black-32GB",5949466.00,3926600.00,"Mobiles & Tablets"
P119281,PBG_D-1033,86942.00,55622.00,"Home & Living"
P119854,Nimcos_Spicy-Potato-Sticks-180gm,6960.00,5394.00,Soghaat
P119880,"huawei_Mate 9-mocjha brown",3891800.00,2335080.00,"Mobiles & Tablets"
P120192,RUB_Kemei_KM-27c,89900.00,62002.00,"Beauty & Grooming"
P120552,JBS_TAT-224,227070.00,172550.00,"Home & Living"
P120586,"RBC_Glimpses of Quaid-e-Azam",17400.00,14442.00,Books
P120746,"SNU_ ze16e2 364004 ",231710.00,199230.00,"Women Fashion"
P121025,timex_T2P041,689330.00,544562.00,"Men Fashion"
P121110,"Trans_LW 35-3-6 Month",77720.00,59798.00,"Kids & Baby"
P121144,GA_GT-01-141173,202420.00,178118.00,"Women Fashion"
P121640,sinbo_7320,150800.00,102544.00,Appliances
P121796,MEGUIAR_G12711,147552.00,128354.00,Others
P122059,redspot_9789696230182,27260.00,23954.00,"School & Education"
P122071,RAJESH_RAJ205,121800.00,73080.00,"Home & Living"
P122630,USwinter_US-WGT-1-9-10Y,69542.00,59102.00,"Kids & Baby"
P122683,"Samsung Galaxy S6 Edge (32GB) SM-G925F Gold",3422000.00,3045580.00,"Mobiles & Tablets"
P122707,PMA_9789810191412,146450.00,90770.00,"School & Education"
P122842,Tmall_EM-TMX09,200100.00,178060.00,"Kids & Baby"
P122980,"regal_0635-C-Fawn Multicolour -10",139200.00,90480.00,"Women Fashion"
P123682,"RT-02-RED-Double Duvet Cover Sheet Set-4 pcs",123250.00,96106.00,"Home & Living"
P124587,AKL_A131130512_SS-164_Grey,186122.00,126556.00,"Women Fashion"
P124794,"Ref_K2 1161 Olive-44",185310.00,161182.00,"Men Fashion"
P125242,dawlance_DW5200,799240.00,639392.00,Appliances
P125701,LS_8961100500154,48720.00,33118.00,Others
P125789,lenovo_20EV000HUE,6414800.00,4618656.00,Computing
P126143,"MORG_GCS 22",852600.00,528612.00,"Health & Sports"
P126290,Sony_48W652D,4760640.00,3475244.00,Entertainment
P126964,RCP_RCPA-5PoloPC-Y-XL,144942.00,126092.00,"Men Fashion"
P126994,MEGUIAR_G15812EU,118030.00,81432.00,Others
P127173,"Aladdin_Pair of Gold Star Rubber Coated Metal Dumbells - 2KG - S",72500.00,54346.00,"Health & Sports"
P127381,SMSM_7622300489922,69020.00,56550.00,Superstore
P127774,"BP_GA33224-2-3 Years",69542.00,61886.00,"Kids & Baby"
P128276,Fidato_537-904-W-40,406000.00,324800.00,"Men Fashion"
P128365,stripyinterior_90002,156542.00,120524.00,"Home & Living"
P128377,"GA_AJRAK T-200 - 114664",101500.00,75110.00,"Home & Living"
P129115,Jaza_2Premium5kg+FOC,99302.38,75458.00,Superstore
P130102,"vitamin_Ultra Gainer",87000.00,75690.00,"Health & Sports"
P130155,"MORG_GCS 26",756900.00,454140.00,"Health & Sports"
P130180,"RB_Household Bundle",57942.00,34742.00,Superstore
P130690,liberty_9780755334513,46110.00,32712.00,Books
P130754,"Aladdin_Non-Slip Yoga Mat - Blue",104342.00,87638.00,"Health & Sports"
P131066,PNG_Pampers_10004048-Hazir,89842.00,67338.00,Superstore
P131222,test-product2,232.00,116.00,Others
P131231,Zia_TK4,18850.00,15080.00,Books
P131358,fitn_810390024742,192850.00,140766.00,"Health & Sports"
P131747,Sigma_3131,51968.00,39962.00,"Health & Sports"
P131795,Zia_AD6,6380.00,5336.00,Books
P131987,haier_HSU-18LK-E8,2591440.00,1580732.00,Appliances
P132321,SKMT_Medicine,5800.00,3654.00,Others
P132718,Samsung_Galaxy_S8_Plus_Gray,5626000.00,4219500.00,"Mobiles & Tablets"
P133080,"Herbo Natural_30",407160.00,293132.00,"Health & Sports"
P133089,Bata_8816275-Black-40,185542.00,133574.00,"Men Fashion"
P133789,babyw_CH-11,116000.00,100920.00,"Kids & Baby"
P133888,Samsung_49K5300,4985332.00,3090878.00,Entertainment
P133996,RM_Panasonic-TH-49D310M,4060000.00,3369800.00,Entertainment
P134165,Atiqa_mega-sale-box-set,579942.00,394342.00,"Beauty & Grooming"
P134557,Sigma_55367,243600.00,168084.00,"Health & Sports"
P134657,A4-Tech_7200N,137750.00,83984.00,Computing
P135284,Gloria_1072A,173420.00,143898.00,"Women Fashion"
P135808,"Zuk Z1-White-Karachi",58.00,0.00,"Mobiles & Tablets"
P135836,liberty_9780330512459,40310.00,25752.00,Books
P135979,nutrifactor_NF0017,115420.00,96918.00,"Health & Sports"
P136050,Zia_QT6A,185600.00,115072.00,Books
P136138,"BMS_Grey Elastic Pant-8 - 9 yrs - Size 32",30160.00,20474.00,"School & Education"
P136346,SIR_DMS16,43210.00,37120.00,Superstore
P136796,"nabila_NTICE FOR Almond",261000.00,161820.00,"Beauty & Grooming"
P136965,Samsung_48inchesK5000,4117942.00,3335522.00,Entertainment
P137745,AlMuhafizMultaniSohanHalwa_Pista_2kg,58000.00,51040.00,Soghaat
P137838,"Naushemian_#0031-Orange -L",2436000.00,1948800.00,"Women Fashion"
P137983,"HP_Laser Color 277n (4-in-1)",2323944.00,1440836.00,Computing
P138131,"ajwa_Ajwa Dates Powder",52200.00,39150.00,"Health & Sports"
P138166,PlanetX_PX-9166,103240.00,83578.00,"Kids & Baby"
P138186,"Topline_Priciples of Commerce",9280.00,5626.00,"School & Education"
P138368,"Relaxer_LSP 02 A-Blue",342200.00,208742.00,"Home & Living"
P138741,PNG_Pampers_10003452-Hazir,125280.00,97672.00,Superstore
P139004,Ego_E02436-BK0-Black-LRG,246442.00,179858.00,"Women Fashion"
P139238,"cr_CASHEW NUT ROASTED-200 GM",21750.00,15428.00,Soghaat
P139241,timex_TW000X107,156542.00,125222.00,"Men Fashion"
P139554,babyw_toy$4,45240.00,31204.00,"Kids & Baby"
P139556,"iu_Tickets General Enclosure-Islamabad",5800.00,5220.00,Others
P139709,WT-70H3200-MG,1508000.00,965120.00,Appliances
P139750,"Haier_HSU-18HZE-R2-DB DC Inverter",4292000.00,3519440.00,Others
P139810,"Bundle 3 smsm_bundle03",197142.00,157702.00,Superstore
P139995,Aladdin_snap_grip_wrenches,104342.00,75110.00,"Home & Living"
P140025,Kenwood_KDC-1214,3050800.00,2288100.00,Appliances
P140292,s_tv_KLV-32R302C,1913942.00,1339742.00,Entertainment
P140312,"stoner_91381 A",50750.00,45646.00,Others
P140542,SanaSafinaz_SS-2A,403100.00,342606.00,"Women Fashion"
P140624,Al-Muhafiz-Sohan-Halwa-Almond-Pack-of-2,53360.00,42688.00,Soghaat
P140828,timex_T49963,368880.00,295104.00,"Men Fashion"
P141051,Rajesh_RAJ014,69600.00,51504.00,"Kids & Baby"
P141587,barico_BS017-,56550.00,50286.00,"School & Education"
P141714,"vitamin_Ultra Creatine",49300.00,35496.00,"Health & Sports"
P141718,"royal_Magnum Bracket 18"",272600.00,209902.00,Appliances
P142308,Telemall_MM-PC-0009,231942.00,204102.00,"Health & Sports"
P142315,AKL_A131130488_SS-31_Peach,109504.00,78822.00,"Women Fashion"
P143153,interwood_HA-K17W105-23575,602040.00,463536.00,"Home & Living"
P143395,liberty_9780600618850,34510.00,27608.00,Books
P143824,oxford_9780195979602,24360.00,16298.00,"School & Education"
P143931,"corio_JC 53-45",377000.00,233740.00,"Men Fashion"
P144022,bogo_Lahore,57942.00,42862.00,Others
P144828,SFEVER_HU379HB0845HGNAFAMZ,289942.00,229042.00,"Beauty & Grooming"
P145469,JBS_WEN-012,78300.00,51678.00,"Home & Living"
P145810,babyw_rompers$44,95700.00,60262.00,"Kids & Baby"
P145849,"Q Mobile M-200",287100.00,175102.00,Others
P145911,PlanetX_SS-9020,63800.00,44022.00,"Kids & Baby"
P146068,J&J_JJCN-023,86710.00,70180.00,"Kids & Baby"
P146139,"plk_PD/ 988 873_60",3069360.00,2332702.00,"Men Fashion"
P146262,"aw_Radiator Flush-300ml ",34800.00,24012.00,Others
P146818,sinbo_3325,478500.00,358846.00,Appliances
P146844,redspot_9789696230090,27260.00,16356.00,"School & Education"
P146984,"tcl_ 24 inch D2720 HD Ready LED TV",919300.00,671060.00,Entertainment
P147289,"sanasafinaz_march16_2A-Nationwide Delivery",301600.00,199056.00,"Women Fashion"
P147689,Zia_TF3,23200.00,18560.00,Books
P147937,HOS_CH212W100,325380.00,286288.00,"Beauty & Grooming"
P147997,liberty_9780545377614,34510.00,24476.00,Books
P148077,"Dynasty_Shan-e-Mughal (Latha)-Navy",162400.00,129920.00,"Men Fashion"
P148209,Timex_A500,173942.00,153062.00,"Men Fashion"
P148379,Paramount_9789694949963,37410.00,31030.00,Books
P148635,"SMART_Light Green Shirt Half Sleeves-5 - 6.5 yrs - Size 22",29000.00,24360.00,"School & Education"
P148962,"edukaan_7071-A4 - 6 Subjects",17400.00,13746.00,"School & Education"
P149491,smsm_371107,53070.00,32364.00,Superstore
P149702,GA_EA-12-144988,463420.00,393878.00,"Women Fashion"
P149741,BO_Nicer-Dicer-Plus-Green,46400.00,31088.00,"Home & Living"
P150120,"StPat_Belt Pant_14 - 15 yrs-Size 40/36",38280.00,32538.00,"School & Education"
P150168,Ego_E02406-BK0-Black-MDM,246442.00,174928.00,"Women Fashion"
P150433,Paramount_9780857200747,80910.00,50924.00,Books
P151006,"dawlance_ES15 1.0 Ton AC",1588620.00,1064358.00,Appliances
P151149,"aw_CONSTRUCTION FOAM-500ml",40600.00,30450.00,Others
P151175,progressive_9781445420028,11310.00,10150.00,Books
P151403,redspot_9789810477189,31900.00,26796.00,"School & Education"
P151672,emart_0-28,52142.00,46400.00,"Home & Living"
P151867,"GMZV_Microsoft GTA V - Xbox One",266800.00,234784.00,Entertainment
P151972,Relaxsit_RS-58,145000.00,102950.00,"Home & Living"
P151994,PlanetX_PX-9079,110200.00,92568.00,"Kids & Baby"
P152281,BO_Guitar-Pktoy-Wooden,80620.00,69310.00,"Kids & Baby"
P152412,"Cosmo_Proactiv Solution",319000.00,239250.00,"Beauty & Grooming"
P152508,"GMZV_Ubisoft Assassin Creed Syndicate - PS4",122090.00,75690.00,Entertainment
P152703,SNU_ME16E-2A,463710.00,366328.00,"Women Fashion"
P152985,UnzeLondon_GS4354-8,115942.00,95062.00,"Men Fashion"
P153186,"STBB_Selections from english verse 1st & 2nd Year by D.Y.MORGAN",2088.00,1508.00,"School & Education"
P153488,AKL_A131137868-SS-06-17,377000.00,245050.00,"Women Fashion"
P153743,Eglo_3890,232000.00,204160.00,"Home & Living"
P153922,"plk_FWI/ 928 911_30",1967360.00,1770624.00,"School & Education"
P154058,oxford_9780199400270,8700.00,7308.00,Books
P154158,Campingaz_205584,986000.00,759220.00,"Home & Living"
P154811,"madela_ DISPOSABLE BRA PADS",52780.00,31668.00,"Kids & Baby"
P155072,akl_A132124674_GFSU1137-M,283214.00,252010.00,"Women Fashion"
P155251,GA_FE-50-141225,497118.00,372824.00,"Women Fashion"
P155434,"rebelz_Joy Joy 6 Subjects Notebook",23200.00,18792.00,"School & Education"
P156208,zubairco_003569,55100.00,33582.00,"School & Education"
P156884,samsung_40J5100,3334942.00,2634592.00,Entertainment
P158272,Edge-wc_ED-WC-011,319000.00,204160.00,"Men Fashion"
P158384,"sindbad_Sindbad Gift Card-1",58000.00,41180.00,Others
P158718,Butt_Pista-Multani-Halwa,29000.00,23490.00,Soghaat
P158959,"HP_CP 551dn",5312568.00,3506274.00,Computing
P159796,"Homage_Cream White Water Dispenser with Refrigerator Cabinet - H",725000.00,442250.00,Appliances
P160003,"Audionic X-BOOM 5 White",88450.00,68962.00,Computing
P160647,liberty_9780753828182,51910.00,37874.00,Books
P160695,Surmawala_Haier-HSU-12HN-Air-Conditioner-White,2551942.00,1888422.00,Appliances
P161287,barico_BS001-Large,126150.00,112230.00,"School & Education"
P161861,redspot_9789696230151,23200.00,13920.00,"School & Education"
P162071,"greenroot_Premature Grey Oil ",116000.00,87000.00,"Beauty & Grooming"
P162270,"Naushemian_#0029-Pstachio Green-M",3770000.00,3317600.00,"Women Fashion"
P162328,"american_tourister Feherlite Spinner  66Black",681500.00,490680.00,"Men Fashion"
P162593,"Al Muhafiz Sohan Halwa Cashew",33060.00,20126.00,Soghaat
P162756,timex_T2P398,1612400.00,1225424.00,"Women Fashion"
P162958,RM_Sony-KDL-50W800C,6351000.00,5144310.00,Entertainment
P163157,Tmall_MM-DR-SPSB,86942.00,69542.00,"Beauty & Grooming"
P163740,Atlas_AT-1500-180W,579942.00,521942.00,Appliances
P164624,"edukaan_7156-A4 - 6 Subjects",17400.00,12006.00,"School & Education"
P164775,timex_T49988,424560.00,280198.00,"Men Fashion"
P164789,USwinter_US-WGD-4-3T,92742.00,76966.00,"Kids & Baby"
P164925,"head_273074-UK 9",521420.00,427518.00,"Men Fashion"
P165479,A4-Tech_Keyboard-Mouse-Wireless-3100N,107648.00,65656.00,Computing
P165743,Swatch_YOS413,1247522.00,998006.00,"Men Fashion"
P165857,audionic6-954217-562568,28420.00,24998.00,Computing
P165913,paramount_9789606981470,26100.00,23490.00,"School & Education"
P166018,audionic_6954217689999,336400.00,279212.00,Entertainment
P166285,"plk_FWI/ 947 929_48",4020560.00,2693752.00,"Men Fashion"
P166364,oxford_9780195979947,63510.00,52664.00,"School & Education"
P166403,"SCIFI_SC39805-Sci-Fi ",22910.00,19894.00,"School & Education"
P166596,US-MSK-13-3T,46342.00,40310.00,"Kids & Baby"
P167095,Dany_Masti-12,899000.00,611320.00,Computing
P167621,"Gmart_Fenix 3 HR 1",3857000.00,3278450.00,"Health & Sports"
P168052,iPhone7Plus-Red-256GB,6487648.00,5125228.00,"Mobiles & Tablets"
P168663,interwood_HA-R-REO-39997,2403520.00,1490136.00,"Home & Living"
P169446,Zia_FM12,19140.00,13746.00,Books
P169619,liberty_9781409387060,28710.00,24070.00,Books
P170099,"AT-early education wood card abc",52490.00,47212.00,"Kids & Baby"
P170108,Noble_Nobel-32-Inch-Black,979620.00,695478.00,Entertainment
P170303,emart_0-16,57942.00,44022.00,Others
P171477,Saloni_BOSSC,58000.00,49300.00,"Beauty & Grooming"
P171657,MEGUIAR_G18211,184440.00,130906.00,Others
P172095,KI_2174SAKBC,153120.00,124004.00,"Home & Living"
P172346,edukaan_200957,99006.00,64322.00,"Kids & Baby"
P172406,"majestic_Sage Green 15 Pieces Cookware",326250.00,287100.00,"Home & Living"
P172630,JBS_CRY-046,172550.00,117334.00,"Home & Living"
P173123,"ag_nixor-Navy Blue Belt Pants for Class XI-XII-15 - 16 yrs-44 (2",49126.00,36308.00,"School & Education"
P173440,JBS_hcd-HON-020,449500.00,328106.00,"Home & Living"
P173908,"UNEL_Kenwood eInspire  1.5Ton",2618700.00,1597378.00,Appliances
P174167,Bata_3514467-PU-Brown-12,11600.00,8584.00,"School & Education"
P174232,"RS_Sohan Halwa_Tin-1000 GM",34800.00,26796.00,Soghaat
P174246,PC_SCHL-FLT-003-6-7,3770.00,2958.00,"School & Education"
P175191,sehgalmotors_51492,96570.00,63684.00,Superstore
P175257,SMSM_270303,10266.00,7656.00,Superstore
P175293,sehgalmotors_6777,77256.00,53302.00,Superstore
P175844,liberty_9788130920184,11310.00,8120.00,Books
P176225,PlanetX_PX-9137,127600.00,111012.00,"Kids & Baby"
P176270,GA_PM-162-136199,351306.00,231826.00,"Women Fashion"
P176485,Kenwood_KDC-1213,2911600.00,2038120.00,Appliances
P176539,redspot_9789810550127,56840.00,49416.00,"School & Education"
P176799,Paramount_9781107657823,96552.60,71398.00,"School & Education"
P177109,"Changhong Ruba 40 Inches D4000i Smart LED",2604200.00,1562520.00,Entertainment
P177278,seagate_STDR2000300-2TB,568400.00,409248.00,Computing
P177815,Kenwood_KDC-1814,3787400.00,3105668.00,Appliances
P177940,"Royal_Energy saver Fan 56 New Model",226200.00,162864.00,Appliances
P178030,Xpert_XDW-60-1W,4466000.00,3706780.00,Appliances
P178123,"Ref_Track 2063-Brown-41",191110.00,170056.00,"Men Fashion"
P178217,PMA_9789810190965,144710.00,86826.00,"School & Education"
P178407,Timex_TW000X602,394400.00,260304.00,"Women Fashion"
P178536,Sigma_52210,156600.00,129978.00,"Health & Sports"
P178697,liberty_9781101881651,75110.00,50286.00,"School & Education"
P179304,"BO_Rectangular Sea Pool",58000.00,35380.00,Others
P179348,"VPN_VPN 103H",150800.00,108576.00,"Health & Sports"
P179835,sehgalmotors_295924,64380.00,46980.00,Superstore
P180184,cc_Samsung_Galaxy_S8_Plus_Black,5434600.00,4456372.00,"Mobiles & Tablets"
P180374,JT_W-27,237800.00,178350.00,"Men Fashion"
P180847,"orient_13af4 1ton-CS",2841942.00,2301962.00,Appliances
P181349,"madinah_Pine nut (Chilgoza)",46400.00,38048.00,Soghaat
P181485,lamart_LMZ043,107822.00,76502.00,"Home & Living"
P181645,JBS_IFAM-032,0.00,0.00,Others
P181682,test-product-new,58.00,0.00,Others
P182103,Honda_BikeCD70-Red,3683000.00,3167380.00,Superstore
P182150,P&P_MPEUIJ78985,11542.00,8758.00,Books
P182780,HAIER_HSU-12HNH,2851280.00,2195474.00,Appliances
P182858,Trendz_TR-0012,95700.00,80388.00,Computing
P183544,yankee_5038580061895,117450.00,93960.00,"Home & Living"
P183926,"Jaza_Elite 1kg",11542.00,9686.00,Superstore
P183937,Rajesh_RAJ0387,66990.00,42862.00,Others
P184059,Relaxsit_RS-59,182700.00,149814.00,"Home & Living"
P184089,Audionic_B-710,78300.00,52432.00,Computing
P184427,mm_AG-9031,587540.00,522870.00,Appliances
P184688,J&J_JJ-045,63510.00,39962.00,"Kids & Baby"
P184758,interwood_HA-R-QRION-39998,2837360.00,2099600.00,"Home & Living"
P185032,coleman_3000002276,783000.00,696870.00,"Home & Living"
P185039,DR_DRPC001A-11,132530.00,106024.00,"Men Fashion"
P185040,"seagate_SG E-1TB",377638.00,332282.00,Computing
P185337,Mardaz_3green-Multicolor-XL,55042.00,46226.00,"Men Fashion"
P185390,"Turk & Fillmore_Super Natural II-40",1885000.00,1583400.00,"Men Fashion"
P185890,"BO_Pack of 6 - Non-Stick Cooking Utensils - Black",87000.00,70470.00,Others
P186555,stinnos_776,90480.00,66004.00,"Kids & Baby"
P186925,Gloria_1607,287100.00,212454.00,"Women Fashion"
P187673,stoner_95160,123250.00,87464.00,Others
P187817,stinnos_A115,66642.00,43964.00,"Kids & Baby"
P187921,Paramount_9789696370178,34510.00,25520.00,Books
P188145,tucano_IPD7AN-BK,156020.00,115420.00,Others
P188418,Progressive_9781922152183,5742.00,4814.00,Books
P188488,"b&d_Food Processor & Factory F710",667000.00,506920.00,Appliances
P189264,"SCIFI_Disney Music_SC510VMP",25810.00,16762.00,"School & Education"
P189598,Gshop_GS-J31,40600.00,24360.00,"Kids & Baby"
P189686,Rajesh_RAJ017,63220.00,48662.00,"School & Education"
P191421,"dwm_Masculine K2H27126 ",2650600.00,1775902.00,"Men Fashion"
P191938,PlanetX_PX-9125,42050.00,27724.00,"Kids & Baby"
P192241,TCL_TCL32InchD2900,1256570.00,1068070.00,Entertainment
P192415,"Samsung_S7 Edge-Black",4336080.00,2818452.00,"Mobiles & Tablets"
P194039,"sanasafinaz_march16_1A-Nationwide Delivery",271614.00,165648.00,"Women Fashion"
P194155,Bahr-e-Shifa,0.00,0.00,Books
P194342,GA_PM-167-136202,435000.00,304500.00,"Women Fashion"
P194372,"hijabh_JILBAB-C-756 (1)-56x",458200.00,339068.00,"Women Fashion"
P194795,"RS_Plain Rusk",3190.00,2610.00,Soghaat
P194864,"TBG_AV-M-048-Ruby ",845640.00,693390.00,"Women Fashion"
P195130,Sapphire_US0678,434420.00,334486.00,"Women Fashion"
P196053,Delsey_384182100,918952.00,698378.00,"Home & Living"
P196625,"AU_GD071-1 Year",237220.00,154164.00,"Kids & Baby"
P196668,Needles_FBD-4108,150800.00,122148.00,"Women Fashion"
P196930,Timex_TWEG15005,301600.00,256360.00,"Men Fashion"
P197055,SCIFI_SC22002PBL-Pucca,2610.00,1856.00,"School & Education"
P197154,"samsungGALAXY NOTE-5 LTE 32GB",4176000.00,2589120.00,"Mobiles & Tablets"
P197519,RS_Nimcolia-5pack,24070.00,14442.00,Soghaat
P197609,"Truck Art Watering can",249400.00,202014.00,"Home & Living"
P197821,PNG_Pampers_10003451-Hazir,125280.00,77662.00,Superstore
P197825,liberty_9781471164934,69310.00,45704.00,Books
P197854,"HP_ 15-AB202TX _clear",3113208.00,2023562.00,Computing
P198082,BO_Guitar-Pktoy-Pink,80620.00,59624.00,"Kids & Baby"
P198243,"tr_Ginseng Raw Honey Tea 440 g",220400.00,189544.00,Soghaat
P198252,Singhar_NC-0012,231942.00,194822.00,"Women Fashion"
P198352,Ar_KN034-S,220400.00,147668.00,"Men Fashion"
P198356,Bparcel_85W-SAFE2,232000.00,155440.00,Computing
P198782,"apple_MACMINI 2.3GHZ DUAL CORE i5",5162000.00,4181220.00,Computing
P198900,Bata_Bfirst-4216008-35-2,57942.00,41122.00,"School & Education"
P198953,"NDF_Pista Salty 500gm",48952.00,35728.00,Soghaat
P199227,emart_0-33,74182.00,60030.00,"Home & Living"
P199375,lala_USS17-SLC-001B-1000188799871,89900.00,59334.00,"Women Fashion"
P199555,asimjofaeanew_5A,324626.00,249922.00,"Women Fashion"
P200099,"Al Muhafiz Multani Sohan Halwa Ticky Pack",26680.00,19430.00,Soghaat
P200668,"Eaget_Silver 16GB OTG USB",57942.00,41702.00,Computing
P200699,"plk_DWI/ 952 069_71",203580.00,154686.00,"School & Education"
P201233,Carson_CB-02-002-43-9,284142.00,235828.00,"Men Fashion"
P201274,"Omega_Omega_17Pcs Non-Stick Cookware Set",342200.00,246384.00,"Home & Living"
P201285,redspot_9789810517397,58000.00,47560.00,"School & Education"
P201461,"HP_ 15-AC110TU Ã‚Â ",3695760.00,3141396.00,Computing
P202743,"Loomes_LK-029 Turquoise blue-S",156542.00,98600.00,"Men Fashion"
P202781,"nabila_NGELIC FOR IVORY",400200.00,288144.00,"Beauty & Grooming"
P203051,"BO_Hippo figured Child Seat",57420.00,34452.00,Others
P203151,"West Point_Wf-6260",73544.00,66178.00,"Beauty & Grooming"
P203217,Paramount_9781444175349,202710.00,166170.00,"School & Education"
P203524,Toyworld_TW-213,365342.00,288608.00,"Kids & Baby"
P203618,asimjofaeanew_5B,115942.00,95062.00,"Women Fashion"
P203898,interwood_HF-15LCRS-A-39655,3004400.00,2463608.00,"Home & Living"
P204422,uni_FoodPanda,87406.00,58522.00,Superstore
P204602,BBS_M008,533020.00,405072.00,"Kids & Baby"
P204937,Fantastic_FT-1115,63394.00,37990.00,Superstore
P205822,"HP_ 15-AC107TU _clear",2609362.00,2139620.00,Computing
P205993,emart_Dessini-Kitchen-Double-Grill-Pressure-Pan,165300.00,135546.00,"Home & Living"
P205994,Silkasia_ET-457,754000.00,505180.00,"Women Fashion"
P206181,Timex_T2P383,276080.00,234668.00,"Men Fashion"
P206280,huawei_Mate-9-Black,3891800.00,3152358.00,"Mobiles & Tablets"
P206488,"RS_Karachi Halwa Tin",16820.00,11252.00,Soghaat
P206548,"Telemall_BFCombo 4_Hot belt & Skipping rope",36482.00,30972.00,"Health & Sports"
